,Unnamed: 0,Compound,Tc
0,7,Re0.1W0.9,0
1,12,Y1Ba2Cu2O6.92,0
2,13,Y1Sr2Cu2.6Al0.4O6.5,0
3,22,Ga1C1Ni3,0
4,25,Hf0.13Nb0.74Zr0.13,0
5,33,Os0.29V0.71,0
6,35,Pb2Sr2Sm1Cu3O8,0
7,39,Eu2.17Ce0.5Sr1.33Cu2.75Co0.25O9.02,0
8,40,Rb2Mo6Se6,0
9,42,Pr1Ba2Cu3O6.05,0
10,44,La1Mg1,0
11,51,Fe0.5Ba1Sr1Nd1Cu2.5O7.499,0
12,57,Be22Ru1,0
13,60,C1Nb0.1Ti0.9,0
14,61,La2Cu0.6Li0.4O4,0
15,65,Np1Al4,0
16,67,Ni1Tb3,0
17,71,As2Ti1,0
18,74,Eu1Fe2As1.89P0.11,0
19,80,Er1Rh1Si1,0
20,81,Ta2V1,0
21,92,Sm1Fe0.8Zn0.2As1F0.2O0.8,0
22,99,Tl1Sr2Ca1Cu2O6.88,0
23,100,Ba1C6,0
24,104,Pr1Ba1La1Cu3O7.42,0
25,112,Ni2Ti1Al1,0
26,116,La0.9Ce0.1Pt2.1B2.4C1.2,0
27,117,Er1Os1B2,0
28,118,Ce1Fe1As0.4P0.6O1,0
29,120,Y0.86Sr2.14Cu2.6C0.4O7,0
30,121,La1.875Ba0.125Cu0.92Zn0.08O4,0
31,126,Hf0.5Re0.5,0
32,128,U2Pt0.8Rh0.2C2,0
33,133,Ca0.4Ba1.25La1.25Cu3O6.61,0
34,135,Ti1Os1P1,0
35,139,Ca0.9Pr0.1Fe1.9As2.1,0
36,146,Bi0.264Mo0.066Cu2.67Sr2Y1O7.09,0
37,152,Os1P1,0
38,155,Gd1Pt2,0
39,160,Ag2S1,0
40,163,La0.85Sr1.15Fe1O3.94,0
41,190,Hg0.5Br1Bi2Ca1Cu2O1Y1,0
42,193,Li1.2Ti1.8O4,0
43,194,La1.8Sr0.2Cu0.95Ni0.05O4,0
44,202,Rh3Y7,0
45,215,Rh1Y2,0
46,225,Hg1Ba2Cu1O4.14,0
47,226,C24K1,0
48,229,La0.6Pr0.4Ba1.5Sr0.5Cu3O6.91,0
49,230,Tb4Rh6Sn19,0
50,231,Mg1C1Ni2.99Mn0.01,0
51,234,Ba1Ti2Sb1.2Bi0.8O1,0
52,235,Ag2Se1,0
53,238,La1.7Sr0.3Cu1O3.9,0
54,258,Bi2Cu1O4,0
55,260,Cd0.2Mg0.08,0
56,265,La1.85Sr0.15Cu0.8Zn0.2O4,0
57,267,Pr1Ba1.8Sr0.2Cu3O6.97,0
58,268,Ho1Co3B2,0
59,271,Ga3Ti1,0
60,275,Tl2Ba2Cu1O6.164,0
61,276,Tm2Cu1O4,0
62,277,Nd1.5Ba1.5Cu3O7.05,0
63,284,La1.8Sr0.2Cu0.95Fe0.05O4,0
64,285,Tm1Fe4P12,0
65,294,Gd1.1Nd0.75Ce0.15Cu1O4,0
66,295,Cu1Si1,0
67,300,As2V1,0
68,301,C2Cr3,0
69,306,Ru1Sr2Dy1.5Ce0.5Cu2O10,0
70,310,Ba0.257K0.743Bi1O3,0
71,312,Pd2Ge1Y1,0
72,318,Ba4Ca1Cu2.38S0.5O9.52,0
73,319,La3Ga1C1,0
74,324,La1.675Nd0.125Sr0.2Cu1O4,0
75,334,Y2Pd1Si3,0
76,336,La3.5Ca2Ba3.5Cu7O16.415,0
77,342,Nd2Cu1O3.5,0
78,348,C0.05Nb5Si3,0
79,354,As1Ge1Mo1,0
80,374,Be2W1,0
81,375,Th0.25Y0.75,0
82,381,B6Yb1,0
83,382,Ho1Fe4P12,0
84,383,Nb0.77Zr0.13Ti0.1,0
85,385,Au0.99In0.01,0
86,390,Pr1.9Sr1.1Cu2O6.11,0
87,398,Eu1.3Ba1.7Cu3O6.983,0
88,401,Pd1Sn4,0
89,405,Nd1Sr2Gd1.5Ce0.5Cu2O10,0
90,406,C3Nd0.2Th1.8,0
91,413,Nd1.85Ce0.15Cu0.95Co0.05O4,0
92,414,Au1La1,0
93,418,Er3Ru4Ge13,0
94,420,Ca1Ba1La1Cu2.5Ni0.5O6.812,0
95,426,Ru1Sr2Ho1.5Ce0.5Cu2O10,0
96,427,Au5Cd8,0
97,429,Pr1Ba1Cu1B1O5,0
98,442,As1Pd7,0
99,443,Ce1Ni1Sb2,0
100,444,In0.3W1O3,0
101,447,Be13Ge1,0
102,449,N1Pr1,0
103,451,P1S1Ta1,0
104,452,Na1Fe0.9Co0.1As1,0
105,453,Bi2Sr2Ca0.4Gd0.6Cu2O8,0
106,457,Nb3Rh0.1Os0.9,0
107,458,Tl1Ba2Pr1Cu2O7,0
108,459,Bi2Sr1.3Gd0.7Cu1O6.402,0
109,460,Ru0.5V0.5,0
110,464,H1.96La1,0
111,465,Nb3Al1,0
112,466,Sr4V3O9.44,0
113,469,Cu3N1,0
