,Unnamed: 0,Compound,Tc
0,0,Ba0.4K0.6Fe2As2,31.2
1,1,Ca0.4Ba1.25La1.25Cu3O6.98,40.1
2,2,Mo0.39Ru0.61,6.9
3,3,Tm4Os6Sn19,1.1
4,4,Nd1Bi0.99Pb0.01S2F0.3O0.7,4.85
5,5,V0.784Ga0.172Al0.044,9.4
6,6,La1.71Sr0.29Cu0.94Co0.06O4,33
7,8,N0.82V1,2.9
8,9,Be0.86Pb0.14,9.7
9,10,Nb3Sn0.85Tl0.15,18.2
10,11,Pb0.5Cu0.5Sr0.9La1.1Cu1O5.16,28.1
11,14,Nd1.1Ba1.9Cu3O6.96,87.6
12,15,Y0.887Ba1.962Ca0.15Cu4O8,91.8
13,16,Ba0.33Hf1N1Cl1,20.2
14,17,La2Cu0.975V0.025O4.032,40
15,18,Sm12Cu2.96Ni0.04O6.88,83
16,19,Cu1.5Mo4.5S6,10.9
17,20,La0.9974Tb0.0026,5.28
18,21,Y0.9Ce0.1Ni2B2C1,11.9
19,23,La2.9628Gd0.0372In1,5.04
20,24,Pd2Zr0.9Nb0.1Al1,2.1
21,26,Ru0.8Sr2Y1Cu2.2O8.1,65
22,27,Y1Ba2Cu2.76Co0.24O6.999,50.7
23,28,La2.9553Gd0.0447In1,4.3
24,29,Nb2.5Sn1V0.5,14.2
25,30,La1.73Sr0.27Cu0.94Mn0.06O4,37
26,31,Ho0.75Y0.25Ni2B2C1,8.9
27,32,Ga0.25Fe0.75Se0.85,6.8
28,34,Zr54.6Ti23.4Ni22,2.78
29,36,Sr0.7Ba1.3Y1Cu2.8Al0.2O7.11,20
30,37,Ca1Hg3,1.6
31,38,Bi1Ga1Sr1.8Ca1.2Cu2O8,24.8
32,41,Y0.35Pr0.65Ba1Sr1Cu3O6.9,20.3
33,43,Gd0.2Nd1.65Ce0.15Cu1O4,18.5
34,45,Nb1C0.2N0.74,17.5
35,46,Pr1Os3.8Ru0.2Sb12,1.655
36,47,Bi2Sr1.6Pr0.4Cu1O6.313,21.8
37,48,Bi4Sr3Ca2.7Y0.3Cu4O1Y1,81.7
38,49,Mo0.8W0.2C1,12
39,50,Ga0.02Sn0.98,3.726
40,52,Er0.95Gd0.05Rh4B4,7.61
41,53,Au0.499Ga0.501,1.17
42,54,In0.17Tl0.83,3.45
43,55,La1.78Sr0.22Cu0.98Zn0.02O4,9.555
44,56,K0.82Fe1.63Se2,32
45,58,La1.82Nd0.03Sr0.15Cu1O4,34.2
46,59,La1.887Ca0.1125Cu1O4,20.1
47,62,Ba1Fe1.83Zn0.06Co0.11As2,17
48,63,Al0.08Au0.92,0.088
49,64,Fe0.5Ba1Sr1Tm1Cu2.5O7.432,40
50,66,La1.825Ba0.175Cu1O4,26.2
51,68,La1.5Er0.5Ba2Ca1Cu5O11.907,78
52,69,Sm0.96La0.84Sr0.2Cu1O4,35
53,70,Cu0.5P0.5Sr2Ca1.8Y0.2Cu3O9.55,80
54,72,Sr1Ga0.5Si1.5,3.5
55,73,Ca0.4La1.25Ba1.35Cu3O7.135,76
56,75,Nb0.995Ta0.005,9.226
57,76,Fe1Se0.5S0.5,2.75
58,77,Ce1Rh1In4.84Sn0.16,1.2
59,78,Y0.8Ca0.2Ba2Cu2.8Co0.2O6.98,82.5
60,79,Na0.32Co1H2.6O3.3,2.825
61,82,Bi2Sr2.4Ca0.6Cu2O8,94.2
62,83,La1.751Ba0.249Cu1O4,13.7
63,84,La0.5Y0.5Fe1As1O0.6,39.3
64,85,La2Pt3Ge5,8.1
65,86,Al0.75Ge0.25Nb3.8,20.34
66,87,La1.7Er0.3Ba2Ca0.6Cu4.6O10.92,70
